phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
7248251,https://bgtrfv.weebly.com/,http://www.phishtank.com/phish_detail.php?phish_id=7248251,2021-07-29T09:01:02+00:00,yes,2021-07-29T09:05:15+00:00,yes,Other
7248244,https://cdcdvinfectionscontrol1.000webhostapp.com/,http://www.phishtank.com/phish_detail.php?phish_id=7248244,2021-07-29T08:50:27+00:00,yes,2021-07-29T09:05:15+00:00,yes,Other
7248243,https://cdcdvinfectionscontrol2.000webhostapp.com/,http://www.phishtank.com/phish_detail.php?phish_id=7248243,2021-07-29T08:50:18+00:00,yes,2021-07-29T09:05:15+00:00,yes,Other
7248239,https://trackitems-here.com/,http://www.phishtank.com/phish_detail.php?phish_id=7248239,2021-07-29T08:41:37+00:00,yes,2021-07-29T08:54:13+00:00,yes,Other
7248238,https://spotify-fee.com/,http://www.phishtank.com/phish_detail.php?phish_id=7248238,2021-07-29T08:40:57+00:00,yes,2021-07-29T08:54:13+00:00,yes,Other
7248222,https://olx.payoff.one,http://www.phishtank.com/phish_detail.php?phish_id=7248222,2021-07-29T08:27:21+00:00,yes,2021-07-29T08:35:38+00:00,yes,Other
7248220,https://inpost.pl-safe.secure-service.sbs,http://www.phishtank.com/phish_detail.php?phish_id=7248220,2021-07-29T08:27:01+00:00,yes,2021-07-29T08:35:38+00:00,yes,Other
7248217,https://dlscord.shop/steam/giveaway-nitro,http://www.phishtank.com/phish_detail.php?phish_id=7248217,2021-07-29T08:26:32+00:00,yes,2021-07-29T08:35:38+00:00,yes,Steam
7248200,http://bit.do/fRthv,http://www.phishtank.com/phish_detail.php?phish_id=7248200,2021-07-29T08:02:35+00:00,yes,2021-07-29T09:17:18+00:00,yes,Other
7248199,http://fischerundwolf.de/aa/swis/SWISSAPOSTA/POSTSWISRA/PostCanada/MyOrderPost/paga.php,http://www.phishtank.com/phish_detail.php?phish_id=7248199,2021-07-29T08:02:24+00:00,yes,2021-07-29T08:07:59+00:00,yes,Other
7248197,https://m04z93000.wixsite.com/btverification,http://www.phishtank.com/phish_detail.php?phish_id=7248197,2021-07-29T08:00:55+00:00,yes,2021-07-29T08:07:59+00:00,yes,Other
7248182,https://sodiq2650.wixsite.com/verifying23456,http://www.phishtank.com/phish_detail.php?phish_id=7248182,2021-07-29T07:49:09+00:00,yes,2021-07-29T07:52:33+00:00,yes,Other
7248169,https://portale.privati.info.softeapp.com/,http://www.phishtank.com/phish_detail.php?phish_id=7248169,2021-07-29T07:31:23+00:00,yes,2021-07-29T07:35:39+00:00,yes,"Poste Italiane"
7248157,"https://services.runescape.com-oc.ru/m=weblogin/loginform245,624,734,93294785,2497",http://www.phishtank.com/phish_detail.php?phish_id=7248157,2021-07-29T07:08:28+00:00,yes,2021-07-29T07:13:10+00:00,yes,RuneScape
7248154,https://bit.ly/3783nxX,http://www.phishtank.com/phish_detail.php?phish_id=7248154,2021-07-29T07:01:43+00:00,yes,2021-07-29T07:13:10+00:00,yes,Other
7248151,https://avez032.wixsite.com/my-site,http://www.phishtank.com/phish_detail.php?phish_id=7248151,2021-07-29T07:01:19+00:00,yes,2021-07-29T07:13:10+00:00,yes,Other
7248141,http://irstpt.yolasite.com/,http://www.phishtank.com/phish_detail.php?phish_id=7248141,2021-07-29T06:54:35+00:00,yes,2021-07-29T07:13:10+00:00,yes,Other
7248142,https://irstpt.yolasite.com/,http://www.phishtank.com/phish_detail.php?phish_id=7248142,2021-07-29T06:54:35+00:00,yes,2021-07-29T07:13:10+00:00,yes,Other
7248139,http://semt4568.yolasite.com/,http://www.phishtank.com/phish_detail.php?phish_id=7248139,2021-07-29T06:54:29+00:00,yes,2021-07-29T07:13:10+00:00,yes,Other
7248140,https://semt4568.yolasite.com/,http://www.phishtank.com/phish_detail.php?phish_id=7248140,2021-07-29T06:54:29+00:00,yes,2021-07-29T07:13:10+00:00,yes,Other
7248131,https://dennybegle.com/tunes/mkb.hu/mkbnetbankar.hu/home/,http://www.phishtank.com/phish_detail.php?phish_id=7248131,2021-07-29T06:49:19+00:00,yes,2021-07-29T06:53:23+00:00,yes,Other
7248128,https://verifybtinternet1.sitey.me/,http://www.phishtank.com/phish_detail.php?phish_id=7248128,2021-07-29T06:46:47+00:00,yes,2021-07-29T06:53:23+00:00,yes,Other
7248123,https://brainstormpayment.com/ttt/we/index.html,http://www.phishtank.com/phish_detail.php?phish_id=7248123,2021-07-29T06:40:44+00:00,yes,2021-07-29T06:45:44+00:00,yes,WeTransfer
7248109,https://thecardyousaved.saferakutensecure.buzz/,http://www.phishtank.com/phish_detail.php?phish_id=7248109,2021-07-29T06:25:24+00:00,yes,2021-07-29T06:36:24+00:00,yes,Rakuten
7248108,https://fromrakuten.saferakutensecure.top/,http://www.phishtank.com/phish_detail.php?phish_id=7248108,2021-07-29T06:22:47+00:00,yes,2021-07-29T06:36:24+00:00,yes,Rakuten
7248105,https://www.tpservices.runescape.com-mv.ru/,http://www.phishtank.com/phish_detail.php?phish_id=7248105,2021-07-29T06:19:56+00:00,yes,2021-07-29T06:25:59+00:00,yes,Other
7248104,http://www.tpservices.runescape.com-mv.ru/,http://www.phishtank.com/phish_detail.php?phish_id=7248104,2021-07-29T06:19:51+00:00,yes,2021-07-29T06:25:59+00:00,yes,Other
