"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","youtube.com","19,212,230","100"
"2","apple.com","6,079,757","100"
"3","www.google.com","12,580,015","100"
"4","support.google.com","4,580,318","99"
"5","cloudflare.com","5,246,048","99"
"6","www.blogger.com","26,418,822","99"
"7","play.google.com","3,957,548","99"
"8","microsoft.com","4,560,335","99"
"9","youtu.be","4,060,556","98"
"10","mozilla.org","1,886,697","98"
"11","docs.google.com","2,542,408","98"
"12","en.wikipedia.org","5,780,160","98"
"13","wordpress.org","10,777,609","98"
"14","maps.google.com","4,573,835","98"
"15","linkedin.com","9,867,610","98"
"16","vimeo.com","3,156,034","97"
"17","europa.eu","1,666,248","97"
"18","plus.google.com","11,906,055","97"
"19","sites.google.com","1,827,554","97"
"20","adobe.com","2,716,984","97"
"21","accounts.google.com","2,500,874","97"
"22","googleusercontent.com","2,239,141","97"
"23","drive.google.com","1,870,576","97"
"24","uol.com.br","578,729","96"
"25","pt.wikipedia.org","367,728","96"
"26","bbc.co.uk","1,453,673","96"
"27","feedburner.com","1,749,466","96"
"28","line.me","667,361","96"
"29","bp.blogspot.com","16,355,189","96"
"30","cnn.com","1,247,357","96"
"31","facebook.com","50,382,808","96"
"32","github.com","2,222,081","96"
"33","amazon.com","4,217,867","96"
"34","vk.com","1,676,577","96"
"35","es.wikipedia.org","817,380","96"
"36","istockphoto.com","3,196,040","96"
"37","abril.com.br","226,937","95"
"38","www.yahoo.com","1,118,956","95"
"39","creativecommons.org","1,627,193","95"
"40","developers.google.com","874,210","95"
"41","policies.google.com","1,186,390","95"
"42","theguardian.com","1,252,302","95"
"43","google.de","1,058,062","95"
"44","google.es","435,133","95"
"45","myspace.com","1,297,392","95"
"46","dailymotion.com","1,069,974","95"
"47","gstatic.com","586,580","95"
"48","brandbucket.com","11,083,863","95"
"49","reuters.com","734,062","95"
"50","paypal.com","915,633","95"
"51","mail.ru","485,637","95"
"52","forbes.com","1,154,995","95"
"53","nytimes.com","1,758,105","95"
"54","issuu.com","856,708","95"
"55","nih.gov","1,065,189","95"
"56","medium.com","1,214,547","95"
"57","www.weebly.com","4,207,899","95"
"58","slideshare.net","903,548","95"
"59","t.me","681,585","95"
"60","w3.org","1,074,121","95"
"61","mail.google.com","442,948","95"
"62","live.com","757,554","95"
"63","hugedomains.com","4,861,633","95"
"64","msn.com","980,959","95"
"65","dropbox.com","937,792","95"
"66","whatsapp.com","2,231,720","95"
"67","get.google.com","765,247","95"
"68","jimdofree.com","1,702,747","95"
"69","globo.com","388,215","95"
"70","opera.com","725,427","95"
"71","fr.wikipedia.org","537,964","95"
"72","google.co.jp","628,998","95"
"73","wikimedia.org","1,430,953","95"
"74","google.com.br","278,060","95"
"75","bbc.com","671,222","95"
"76","imdb.com","1,272,213","95"
"77","news.google.com","713,044","95"
"78","translate.google.com","273,520","94"
"79","office.com","357,358","94"
"80","harvard.edu","589,613","94"
"81","apache.org","887,470","94"
"82","amazon.co.uk","656,183","94"
"83","cpanel.com","1,163,941","94"
"84","cpanel.net","1,246,547","94"
"85","terra.com.br","187,089","94"
"86","foxnews.com","456,874","94"
"87","networkadvertising.org","680,233","94"
"88","4shared.com","522,657","94"
"89","archive.org","919,721","94"
"90","news.yahoo.com","583,714","94"
"91","cdc.gov","652,778","94"
"92","youronlinechoices.com","480,089","94"
"93","google.ru","189,134","94"
"94","wired.com","541,116","94"
"95","google.co.uk","551,337","94"
"96","businessinsider.com","577,473","94"
"97","bit.ly","4,253,798","94"
