,importance
Speical_Char,0.2320346254206201
URL_Depth,0.20803145521360314
use_http,0.15793073858331286
redirection,0.09957398340971951
URL_length,0.06362109431320138
time_get_redirect,0.062414212484748474
Prefix/Suffix,0.03635933267453996
TinyURL,0.025868040806838643
same_asn,0.024662490200104973
domain_lifespan,0.022927198303619823
domain_timeleft,0.02283047225339666
DNS_Record,0.013646970557112224
port_in_url,0.012201000884733844
Have_At,0.00592039180288792
http_in_domain,0.004692006304923749
iFrame,0.003854496089998636
Web_Forwards,0.003150314624385649
Mouse_Over,0.00018094202412526764
Right_Click,0.00010023404812735981
fromCharCode,0.0
ActiveXObject,0.0
escape,0.0
trusted_ca,0.0
eval,0.0
atob,0.0
Have_IP,0.0
unescape,0.0
Punny_Code,0.0
